,cpi_us,d4l_cpi_us,y_us,d4l_y_us,l_y_us_gap,l_y_us_tnd,i_fed_us,i_3lib_us,i_6lib_us,r_us,r_fed_us_tnd,cpi_ez,y_ez,d4l_y_ez,l_y_ez_gap,l_y_ez_tnd,usd_eur,oil,l_qoil_tnd,l_qoil_gap,food,l_qfood_tnd,l_qfood_gap,diam,l_qdiam_tnd,l_qdiam_gap,coblt,l_qcoblt_tnd,l_qcoblt_gap,copp,l_qcopp_tnd,l_qcopp_gap,gold,l_qgold_tnd,l_qgold_gap,coal,l_qcoal_tnd,l_qcoal_gap
Comments,"US Consumer Price Index (index, 2005=100, USD)","US Headline CPI Inflation (percent, YoY, log approx.)","US Real GDP (Mil. USD, 2005 prices)","US Real GDP Growth (percent, YoY, log approx.)",US Real GDP Gap (percent),US Real GDP Trend (100*log),US Fed Funds Interest Rate (percent p.a.),3M USD LIBOR Interest Rate (percent p.a.),6M USD LIBOR Interest Rate (percent p.a.),US Real Interest Rate (percent p.a.),US Equilibrium Real Interest Rate (percent p.a.),"EZ Consumer Price Index (index, 2005=100, EUR)","EZ Real GDP (Mil. EUR, 2000 prices)","EZ Real GDP Growth (percent, YoY, log approx.)",EZ Real GDP Gap (percent),EZ Real GDP Trend (100*log),Nominal USD per EUR Exchange Rate (USD per 1 EUR),Price of Brent Crude Oil (USD),"Real Price of Oil Trend (100*log, deflated by US CPI)","Real Price of Oil Gap (percent, deflated by US CPI)","Food Price Index (2002-2004=100, FAO (UN), USD)","Real Price of Food Trend (100*log, deflated by US CPI)","Real Price of Food Gap (percent, deflated by US CPI)",Industrial Diamonds Price Index (USD),"Real Price of Industrial Diamonds Trend (100*log, deflated by US CPI)","Real Price of Industrial Diamonds Gap (percent, deflated by US CPI)",Shanghai Cobalt Spot Price (USD),"Real Price of Shanghai Cobalt Trend (100*log, deflated by US CPI)","Real Price of Shanghai Cobalt Gap (percent, deflated by US CPI)",LME Copper Spot Price (USD),"Real Price of LME Copper Trend (100*log, deflated by US CPI)","Real Price of LME Copper Gap (percent, deflated by US CPI)",Gold Spot Price (USD),"Real Price of Gold Trend (100*log, deflated by US CPI)","Real Price of Gold Gap (percent, deflated by US CPI)",Price of CSX Coal Future (USD),"Real Price of CSX Coal Futures Trend (100*log, deflated by US CPI)","Real Price of CSX Coal Futures Gap (percent, deflated by US CPI)"
2007Q3,95.10203,2.28321,15666.7,2.19606,0.4549,965.47437,4.96291,5.30234,5.22884,2.94968,0.61934,104.46387,2446211.7,2.99038,2.73105,1468.27406,1.37531,75.04349,-32.43777,8.74952,171.54653,47.21431,11.77612,2044.08,245.67875,61.09653,67769.90062,626.88886,30.00346,7717.49545,400.56132,39.06817,681.69758,202.37032,-5.40673,43.64732,-53.11943,-24.7614
2007Q4,96.56436,3.93362,15762,1.95465,0.72527,965.81046,4.39025,4.90695,4.7865,1.93025,0.46013,105.7228,2458802.1,2.39068,3.0255,1468.49298,1.44875,88.93681,-29.98323,21.75486,187.24264,48.93488,17.28468,2139.58,242.96988,66.84563,89000.2186,627.08541,55.53302,7202.9183,402.89947,28.30371,790.06668,206.10805,4.08271,50.73026,-51.81741,-12.55131
2008Q1,97.71038,4.02299,15671.4,1.14297,-0.15945,966.11872,3.11652,3.21049,3.10568,1.32286,0.293,106.8182,2472437.6,2.19819,3.40788,1468.66363,1.49999,96.66016,-27.8299,26.74925,212.51709,50.53835,27.16311,1587.88333,240.08251,38.73242,120913.4629,626.99012,85.09213,7818.12258,405.00034,33.21884,924.94972,209.80143,14.97173,74.14426,-50.50553,22.90602
2008Q2,98.97223,4.28052,15752.3,1.08636,0.06946,966.4047,2.06601,2.71365,2.89041,0.29189,0.13086,107.66049,2463245.1,1.17312,2.91675,1468.78227,1.5625,122.39161,-26.0076,47.24625,220.487,51.98084,28.1191,1706.26,237.07769,47.64429,105538.4174,626.53487,70.66423,8454.10227,406.86022,37.89656,897.29565,213.39381,7.06081,104.52812,-49.45313,54.91482
2008Q3,100.13922,5.16111,15667,0.00191,-0.72938,966.66057,1.93763,2.86531,3.13772,0.24832,0.05288,108.50619,2449150.5,0.12006,2.27224,1468.85293,1.50214,115.60472,-24.62398,38.98552,210.51241,53.25501,21.04332,1311.52667,233.97677,23.2618,83638.13839,625.75396,47.01539,7671.97846,408.47987,25.39697,868.54082,216.90797,-0.88265,114.406,-48.89768,62.21689
2008Q4,98.12196,1.60015,15328,-2.79208,-3.14889,966.89254,0.52376,2.68594,2.86326,1.76688,0.01326,108.12525,2407678.9,-2.10111,0.53577,1468.8816,1.31827,55.88834,-23.60884,-32.67671,161.9943,54.38714,-4.25215,487.29,230.84238,-70.57756,56839.90954,624.70956,11.46871,3909.72468,409.90606,-41.40496,797.17212,220.36833,-10.8824,78.13334,-48.89217,26.11274
2009Q1,97.63548,-0.07669,15155.9,-3.34475,-4.47971,967.09423,0.18763,1.23243,1.72056,2.07111,0.04948,107.83529,2336144.3,-5.67027,-2.48309,1468.88433,1.30434,44.98053,-22.52356,-54.97756,145.82652,55.47037,-15.35269,256.87333,227.81792,-131.0837,48414.17425,623.49385,-2.86315,3453.21488,411.3183,-54.7363,910.44558,223.80669,-0.53737,55.03804,-49.18047,-8.14116
2009Q2,97.85283,-1.13746,15134.1,-4.00359,-4.7976,967.26817,0.17831,0.84375,1.3861,1.96071,-0.03,107.83025,2330272.6,-5.54944,-2.74381,1468.8934,1.3629,59.13449,-21.21983,-29.14519,157.32446,56.54744,-9.06287,296.28333,225.00344,-114.21829,45854.63745,622.1549,-7.1782,4681.27245,412.75985,-25.97379,922.25551,227.16917,-2.8334,46.70127,-49.50758,-24.46174
2009Q3,98.5399,-1.60998,15189.2,-3.09719,-4.58085,967.41484,0.15442,0.41175,0.8304,1.32796,-0.08,108.12499,2337574.6,-4.66273,-2.45565,1468.9181,1.43081,68.36734,-19.84158,-16.71505,162.06186,57.5971,-7.84544,392.19333,222.40099,-84.27165,51228.70904,620.71805,4.64134,5867.01268,414.16268,-5.49875,960.91115,230.45169,-2.70965,45.42181,-49.7397,-27.70722
2009Q4,99.53999,1.43482,15356.1,0.18316,-3.6117,967.5385,0.11868,0.26773,0.51843,-0.47317,-0.14588,108.5617,2350602.6,-2.39915,-1.94496,1468.96319,1.47664,74.96677,-18.47054,-9.88091,176.16495,58.61259,-1.52645,537.62333,219.98925,-51.32938,51756.75188,619.17269,6.20239,6655.1351,415.47301,4.78545,1101.13705,233.6386,6.71531,48.41735,-49.84001,-22.23012
